,gender,age,salary,other_income,parent_num,child_num,marriage,risk_type,categories_version,ans_type,risk_question_4_1,risk_question_4_2,risk_question_4_3,risk_question_4_4,risk_question_1_1,risk_question_1_2,risk_question_1_3,risk_question_1_4,risk_question_2_1,risk_question_2_2,risk_question_2_3,risk_question_2_4,risk_question_3_1,risk_question_3_2,risk_question_3_3,risk_question_3_4,risk_question_5_1,risk_question_5_2,risk_question_5_3,risk_question_5_4,risk_question_6_1,risk_question_6_2,risk_question_6_3,risk_question_6_4,risk_question_7_1,risk_question_7_2,risk_question_7_3,risk_question_7_4,risk_question_8_1,risk_question_8_2,risk_question_8_3,risk_question_8_4,risk_question_9_1,risk_question_9_2,risk_question_9_3,risk_question_9_4,risk_question_10_1,risk_question_10_2,risk_question_10_3,risk_question_10_4,Art,Band,Chef,Mood,Show,Actor,Brand,Cause,Color,Event,Gamer,Legal,Music,Topic,Artist,Author,Course,Dancer,Editor,Sports,Writer,Athlete,Blogger,Cuisine,Finance,Profile,Science,Comedian,Designer,Diseases,Election,Fan Page,Language,Locality,Musician,Producer,Community,Education,Orchestra,Residence,Scientist,Surgeries,Journalist,Agriculture,Labor Union,Nationality,Real Estate,Social Club,Sports Club,TV & Movies,Visual Arts,Work Status,Armed Forces,Concert Tour,Entrepreneur,Just For Fun,Meeting Room,Talent Agent,Ticket Sales,Work Project,Fashion Model,Film Director,Fitness Model,Literary Arts,Local Service,Musician/Band,Public Toilet,Satire/Parody,Sports Season,Video Creator,Work Position,Not a Business,Campus Building,Digital Creator,Food & Beverage,Harmonized Page,Hotel & Lodging,Performance Art,Performing Arts,Sports Promoter,Theatrical Play,Exchange Program,Medical & Health,News Personality,Spiritual Leader,Books & Magazines,Community Service,Editorial/Opinion,Shopping & Retail,University (NCES),University Status,Media/News Company,Outdoor Recreation,Youth Organization,City Infrastructure,Sports & Recreation,Arts & Entertainment,Charity Organization,Motivational Speaker,Private Members Club,Advertising/Marketing,Sorority & Fraternity,Nonprofit Organization,Religious Organization,Theatrical Productions,Commercial & Industrial,Travel & Transportation,Country Club / Clubhouse,Media Restoration Service,Religious Place of Worship,"Automotive, Aircraft & Boat",Landmark & Historical Place,Public & Government Service,Automated Teller Machine (ATM),"Beauty, Cosmetic & Personal Care","Science, Technology & Engineering",Non-Governmental Organization (NGO),Environmental Conservation Organization
34,1,22,20000,0,2,0,0,2,1,1,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,2,1,0,0,0,1,50,0,0,0,1,0,1,0,25,1,0,1,0,0,4,0,7,0,0,0,0,2,0,0,0,3,0,0,0,1,21,19,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,1,10,0,0,0,0,1,0,0,0,11,2,0,0,0,12,0,2,2,0,5,0,0,0,0,0,0,0,0,1,0,4,1,0,17,0,0,2,0,0,1,0,3,0,0,0,0,0,3,0,0,1,1,0,0,0,0,0,0,0,0,4,0,0
35,1,22,20000,0,2,0,0,2,2,1,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,4,2,0,0,0,2,59,0,0,1,1,0,1,0,28,1,0,1,0,0,4,0,8,0,0,0,0,3,0,0,0,4,0,0,0,1,25,24,0,1,0,0,0,0,0,0,0,0,0,8,0,0,0,0,1,14,0,0,0,0,1,0,0,0,18,3,0,0,0,20,0,2,2,0,5,0,0,0,0,0,0,0,0,1,0,5,1,0,20,0,0,6,2,0,1,2,7,0,0,0,0,0,4,0,0,1,1,0,0,0,0,1,0,0,0,6,0,0
36,1,22,0,0,2,0,0,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,3,4,0,0,0,8,161,0,0,4,10,1,18,0,28,1,0,2,0,6,6,335,8,0,0,0,0,7,0,0,0,2,0,8,4,3,63,35,0,2,0,0,0,1,0,0,1,0,5,70,0,0,0,0,2,13,0,0,0,0,3,0,0,0,9,73,0,0,0,26,0,1,2,0,37,0,3,0,11,0,0,0,1,0,0,14,1,1,16,0,0,22,2,0,0,63,8,0,0,0,1,0,4,1,0,1,1,0,0,1,5,3,4,0,4,7,1,0
37,1,22,0,0,2,0,0,1,2,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,3,4,0,0,0,8,196,0,0,5,13,1,25,0,32,1,0,2,0,16,7,336,13,0,0,0,0,9,0,0,0,3,0,9,5,3,67,45,0,5,1,0,0,1,0,0,1,0,10,76,0,0,0,1,2,18,0,0,0,0,3,1,0,0,11,100,0,0,0,51,0,1,2,0,40,0,3,0,13,1,0,0,1,1,0,15,1,1,25,0,0,33,2,0,0,76,14,0,0,0,1,0,5,1,1,1,2,0,0,2,6,6,4,0,6,13,1,0
38,0,52,67000,0,0,1,1,3,1,1,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,9,0,3,0,0,0,0,0,1,0,0,0,0,0,5,0,0,3,0,0,1,1,0,1,0,0,0,0,0,1,0,0,3,0,0,1,4,0,0,0,2,0,0,0
39,0,52,67000,0,0,1,1,3,2,1,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,1,0,0,9,0,3,0,0,0,0,0,1,0,0,1,0,0,8,0,0,3,0,0,1,1,0,1,0,0,1,0,0,2,0,0,3,0,0,1,5,0,0,0,3,0,0,0
40,0,24,50000,0,1,0,0,3,1,2,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
41,0,24,50000,0,1,0,0,3,2,2,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
42,0,44,40000,50000,0,3,1,1,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,0,44,40000,50000,0,3,1,1,2,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
44,0,47,40000,20000,1,1,1,2,1,3,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,0,47,40000,20000,1,1,1,2,2,3,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,0,49,30000,0,0,1,1,1,1,3,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,10,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,1,0,0,0,1,0,0,0
47,0,49,30000,0,0,1,1,1,2,3,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,10,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,0,0,1,1,0,0,0,2,0,0,0
48,1,60,120000,0,0,2,1,2,1,3,1,1,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0
49,1,60,120000,0,0,2,1,2,2,3,1,1,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,8,0,0,1,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,2,1,0,0,0,0,0,1,0,0,0,1,0,0,0,2,0,0,0,0,2,0,0
50,0,46,30000,360000,1,0,0,1,1,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,1,0,0,0,1,0,0,0,0,15,0,4,0,0,0,0,0,0,1,0,0,0,0,3,0,0,3,0,0,0,1,0,1,0,0,0,0,2,5,0,0,0,0,0,0,0,0,1,0,2,0,1,0
51,0,46,30000,360000,1,0,0,1,2,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,1,0,0,0,2,0,0,0,0,17,0,4,0,0,0,0,0,0,1,0,0,0,0,7,0,0,4,0,0,0,2,0,1,0,0,0,0,2,6,0,0,1,0,0,1,0,0,1,0,3,0,1,0
52,0,54,30000,0,2,2,1,3,1,2,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,0,54,30000,0,2,2,1,3,2,2,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,0,53,50000,0,0,2,1,1,1,3,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,0,53,50000,0,0,2,1,1,2,3,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,0,47,20000,0,2,2,1,1,1,1,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,2,0,0,0,0,0,21,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
57,0,47,20000,0,2,2,1,1,2,1,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,2,0,0,0,0,0,25,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,2,0,0,4,0,0,5,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
58,1,29,11500,0,0,0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,2,1,0,0,0,1,49,0,0,0,1,1,3,0,6,0,0,0,0,0,2,0,7,0,5,0,0,4,0,0,0,2,0,0,3,0,18,9,0,0,0,0,2,1,0,0,0,0,0,7,0,0,0,0,1,2,0,0,0,0,0,0,0,0,2,15,0,0,0,10,0,0,0,0,4,0,1,0,0,0,0,0,2,0,0,4,0,0,7,0,0,16,0,0,0,2,2,0,0,1,3,0,4,0,0,0,5,0,0,1,0,0,4,0,0,5,0,0
59,1,29,11500,0,0,0,0,1,2,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,2,1,0,0,0,1,63,0,0,0,3,1,5,0,8,0,0,0,0,0,4,0,8,0,5,0,0,4,0,0,0,2,0,1,3,0,20,12,0,4,0,0,2,1,0,0,0,0,0,9,0,0,0,0,1,4,0,0,0,0,0,0,0,0,4,23,0,0,0,16,0,0,0,1,6,0,1,0,0,1,0,0,3,1,0,6,0,0,12,0,0,22,0,0,0,3,3,0,0,1,4,0,5,0,0,0,5,0,0,1,1,0,6,0,0,7,0,0
60,0,36,12000,0,0,2,1,2,1,3,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,1,1,0,0,4,318,0,0,1,0,0,6,0,25,3,0,1,0,2,9,0,39,0,4,0,0,1,1,0,0,1,0,2,1,0,40,41,0,4,0,0,1,1,0,0,2,0,0,51,0,0,0,0,1,10,0,0,0,0,0,0,0,0,21,4,0,0,0,19,0,0,0,2,104,0,31,0,0,0,0,0,14,0,0,7,1,0,85,0,0,42,2,0,0,6,17,0,0,0,3,0,9,4,0,0,17,0,0,3,1,1,2,0,10,3,0,0
61,0,36,12000,0,0,2,1,2,2,3,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,3,1,1,0,0,5,368,0,0,4,0,0,11,0,28,4,0,1,0,3,13,0,50,0,4,0,0,2,1,0,0,1,0,8,2,0,52,53,0,11,0,0,1,4,0,0,2,0,0,62,0,0,0,0,1,15,0,0,0,0,0,0,0,0,41,7,0,0,0,28,0,1,0,3,120,0,35,0,0,0,0,0,20,1,0,10,2,0,131,0,0,64,4,0,0,9,19,0,0,0,8,0,9,4,0,2,27,0,0,6,2,2,3,0,20,7,1,0
62,0,47,80000,0,2,2,1,2,1,2,1,1,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,77,0,0,0,0,0,1,0,0,0,0,0,0,1,2,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,28,25,0,0,1,0,1,1,0,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,20,0,0,0,0,2,0,0,3,0,18,0,9,0,0,0,0,0,11,2,0,5,0,0,13,0,0,15,1,0,0,0,3,0,0,0,1,0,5,0,0,2,3,0,0,0,2,1,2,0,0,9,3,1
63,0,47,80000,0,2,2,1,2,2,2,1,1,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,92,0,0,0,0,0,2,0,1,0,0,0,0,1,2,0,1,0,4,0,0,0,1,0,0,1,0,1,0,1,35,37,0,5,1,0,1,2,0,0,2,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,31,0,0,0,0,3,0,0,3,0,22,0,9,0,0,0,0,0,14,2,0,7,0,0,22,0,0,20,3,0,0,1,4,2,0,0,2,0,8,0,0,3,4,0,0,0,2,1,5,0,0,13,3,1
64,1,24,80000,2500000,0,2,1,2,1,2,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,3,121,0,0,1,0,1,1,0,5,2,0,1,0,1,10,1,15,0,6,0,0,2,0,0,0,0,0,2,0,1,42,29,0,1,1,0,1,3,0,0,1,0,0,27,0,0,0,0,3,3,0,1,0,0,0,0,0,0,12,1,0,0,0,10,0,1,1,1,32,0,8,0,0,0,0,0,3,1,0,4,0,0,33,0,0,12,1,0,0,12,1,0,1,0,3,0,4,0,0,4,10,1,0,0,9,0,0,0,2,14,0,0
65,1,24,80000,2500000,0,2,1,2,2,2,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,5,148,0,0,2,1,2,1,0,8,2,0,1,0,1,11,1,19,0,10,0,0,2,0,0,0,0,0,3,0,1,46,40,0,2,2,0,1,4,0,0,2,0,0,30,0,0,0,0,4,5,0,1,1,0,0,0,1,0,22,1,0,0,0,14,0,1,1,1,43,0,9,0,0,0,0,0,5,2,0,5,0,0,53,0,0,17,2,0,0,20,3,1,1,0,4,0,4,0,0,8,16,1,0,0,11,0,1,0,3,17,0,0
66,0,26,0,0,2,0,0,3,1,2,1,1,1,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,2,0,0,0,0,1,39,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,1,0,0,0,4,0,1,0,0,20,0,0,0,0,0,0,0,0,0,0,4,0,0,14,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
67,0,26,0,0,2,0,0,3,2,2,1,1,1,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,2,0,0,0,0,2,47,0,0,2,0,0,0,0,3,0,0,0,0,0,1,0,2,0,1,0,0,0,0,0,0,1,0,0,1,0,2,1,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,14,1,0,0,0,5,0,1,0,0,22,0,0,0,0,0,0,0,0,0,0,4,0,0,20,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,1,3,0,0,0,2,0,0,0,2,0,0,0
68,0,23,47000,544000,2,1,0,2,1,1,1,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,2,0,0,0,0,2,449,0,0,1,2,0,3,0,32,2,0,1,0,0,14,0,48,0,3,0,0,4,1,0,0,1,0,1,1,2,55,30,0,2,0,0,1,2,0,0,1,0,0,13,0,0,0,0,1,26,0,1,0,0,0,0,0,0,36,5,0,0,0,18,1,0,2,1,42,0,2,1,1,0,0,0,5,1,0,8,0,0,101,0,0,14,0,0,0,1,2,0,0,0,3,0,1,1,0,1,8,0,0,0,1,0,1,0,42,3,0,0
69,0,23,47000,544000,2,1,0,2,2,1,1,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,2,1,1,0,0,5,525,0,0,1,2,0,4,0,44,3,0,1,0,1,18,0,57,0,3,0,0,7,4,0,0,1,0,4,1,2,61,36,0,7,0,0,1,2,0,0,1,0,0,17,0,0,0,0,1,35,0,1,0,0,1,0,0,0,62,9,0,0,0,28,1,0,3,1,54,0,3,1,1,0,0,0,12,1,0,12,0,0,201,0,0,22,0,0,0,5,13,0,0,0,4,0,1,1,0,1,14,0,0,1,2,1,1,0,107,4,0,0
70,1,21,10000,10000,1,0,0,3,1,2,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,5,2,0,0,2,0,204,0,0,3,3,1,3,0,20,4,0,1,0,0,17,1,31,0,3,0,1,3,0,0,0,0,0,0,0,2,58,87,0,2,2,0,2,2,0,0,2,0,0,19,0,0,0,0,2,4,0,0,0,0,0,0,0,0,23,26,0,0,0,24,0,0,3,1,30,0,3,1,0,0,0,1,9,0,0,7,1,1,38,0,0,22,0,0,1,3,12,1,0,0,2,0,18,0,0,6,4,0,0,0,0,0,3,0,2,38,1,0
